id,area,topic,round_type,question,answer
1,Python,Data types & variables,Screening/MCQ,[Screening/MCQ] Explain Python's built-in data types and how you would use them in a data analysis script.,"Python's core data types include numeric types (int, float), text (str), Boolean (bool), and collections (list, tuple, set, dict). In data analysis scripts you typically read raw data into lists or dictionaries, convert numeric strings to ints/floats, and use sets to deduplicate values. Knowing the mutability and performance characteristics of each type helps you choose the right structure for filtering, aggregating, and joining datasets. In a Screening/MCQ round, emphasize the aspects most relevant to that format, such as brevity for screenings, code or queries for technical rounds, tool navigation for hands-on, structured thinking for case scenarios, and trade-offs or architecture for design discussions."
2,Python,Data types & variables,Technical coding,[Technical coding] Explain Python's built-in data types and how you would use them in a data analysis script.,"Python's core data types include numeric types (int, float), text (str), Boolean (bool), and collections (list, tuple, set, dict). In data analysis scripts you typically read raw data into lists or dictionaries, convert numeric strings to ints/floats, and use sets to deduplicate values. Knowing the mutability and performance characteristics of each type helps you choose the right structure for filtering, aggregating, and joining datasets. In a Technical coding round, emphasize the aspects most relevant to that format, such as brevity for screenings, code or queries for technical rounds, tool navigation for hands-on, structured thinking for case scenarios, and trade-offs or architecture for design discussions."
3,Python,Data types & variables,Tool hands-on,[Tool hands-on] Explain Python's built-in data types and how you would use them in a data analysis script.,"Python's core data types include numeric types (int, float), text (str), Boolean (bool), and collections (list, tuple, set, dict). In data analysis scripts you typically read raw data into lists or dictionaries, convert numeric strings to ints/floats, and use sets to deduplicate values. Knowing the mutability and performance characteristics of each type helps you choose the right structure for filtering, aggregating, and joining datasets. In a Tool hands-on round, emphasize the aspects most relevant to that format, such as brevity for screenings, code or queries for technical rounds, tool navigation for hands-on, structured thinking for case scenarios, and trade-offs or architecture for design discussions."
4,Python,Data types & variables,Case/Scenario,[Case/Scenario] Explain Python's built-in data types and how you would use them in a data analysis script.,"Python's core data types include numeric types (int, float), text (str), Boolean (bool), and collections (list, tuple, set, dict). In data analysis scripts you typically read raw data into lists or dictionaries, convert numeric strings to ints/floats, and use sets to deduplicate values. Knowing the mutability and performance characteristics of each type helps you choose the right structure for filtering, aggregating, and joining datasets. In a Case/Scenario round, emphasize the aspects most relevant to that format, such as brevity for screenings, code or queries for technical rounds, tool navigation for hands-on, structured thinking for case scenarios, and trade-offs or architecture for design discussions."
5,Python,Data types & variables,System/design discussion,[System/design discussion] Explain Python's built-in data types and how you would use them in a data analysis script.,"Python's core data types include numeric types (int, float), text (str), Boolean (bool), and collections (list, tuple, set, dict). In data analysis scripts you typically read raw data into lists or dictionaries, convert numeric strings to ints/floats, and use sets to deduplicate values. Knowing the mutability and performance characteristics of each type helps you choose the right structure for filtering, aggregating, and joining datasets. In a System/design discussion round, emphasize the aspects most relevant to that format, such as brevity for screenings, code or queries for technical rounds, tool navigation for hands-on, structured thinking for case scenarios, and trade-offs or architecture for design discussions."
6,Python,Lists vs tuples vs sets,Screening/MCQ,"[Screening/MCQ] What are lists, tuples, and sets in Python, and how do they differ in behavior and use cases for analytics?","Lists are ordered, mutable sequences that allow duplicates, ideal for collections you will change such as rows read from a file. Tuples are ordered but immutable, good for fixed records like (customer_id, order_id, amount) where the structure should not change. Sets are unordered collections of unique elements, used to remove duplicates, check membership efficiently, or implement simple joins by intersecting value sets. In a Screening/MCQ round, emphasize the aspects most relevant to that format, such as brevity for screenings, code or queries for technical rounds, tool navigation for hands-on, structured thinking for case scenarios, and trade-offs or architecture for design discussions."
7,Python,Lists vs tuples vs sets,Technical coding,"[Technical coding] What are lists, tuples, and sets in Python, and how do they differ in behavior and use cases for analytics?","Lists are ordered, mutable sequences that allow duplicates, ideal for collections you will change such as rows read from a file. Tuples are ordered but immutable, good for fixed records like (customer_id, order_id, amount) where the structure should not change. Sets are unordered collections of unique elements, used to remove duplicates, check membership efficiently, or implement simple joins by intersecting value sets. In a Technical coding round, emphasize the aspects most relevant to that format, such as brevity for screenings, code or queries for technical rounds, tool navigation for hands-on, structured thinking for case scenarios, and trade-offs or architecture for design discussions."
8,Python,Lists vs tuples vs sets,Tool hands-on,"[Tool hands-on] What are lists, tuples, and sets in Python, and how do they differ in behavior and use cases for analytics?","Lists are ordered, mutable sequences that allow duplicates, ideal for collections you will change such as rows read from a file. Tuples are ordered but immutable, good for fixed records like (customer_id, order_id, amount) where the structure should not change. Sets are unordered collections of unique elements, used to remove duplicates, check membership efficiently, or implement simple joins by intersecting value sets. In a Tool hands-on round, emphasize the aspects most relevant to that format, such as brevity for screenings, code or queries for technical rounds, tool navigation for hands-on, structured thinking for case scenarios, and trade-offs or architecture for design discussions."
9,Python,Lists vs tuples vs sets,Case/Scenario,"[Case/Scenario] What are lists, tuples, and sets in Python, and how do they differ in behavior and use cases for analytics?","Lists are ordered, mutable sequences that allow duplicates, ideal for collections you will change such as rows read from a file. Tuples are ordered but immutable, good for fixed records like (customer_id, order_id, amount) where the structure should not change. Sets are unordered collections of unique elements, used to remove duplicates, check membership efficiently, or implement simple joins by intersecting value sets. In a Case/Scenario round, emphasize the aspects most relevant to that format, such as brevity for screenings, code or queries for technical rounds, tool navigation for hands-on, structured thinking for case scenarios, and trade-offs or architecture for design discussions."
10,Python,Lists vs tuples vs sets,System/design discussion,"[System/design discussion] What are lists, tuples, and sets in Python, and how do they differ in behavior and use cases for analytics?","Lists are ordered, mutable sequences that allow duplicates, ideal for collections you will change such as rows read from a file. Tuples are ordered but immutable, good for fixed records like (customer_id, order_id, amount) where the structure should not change. Sets are unordered collections of unique elements, used to remove duplicates, check membership efficiently, or implement simple joins by intersecting value sets. In a System/design discussion round, emphasize the aspects most relevant to that format, such as brevity for screenings, code or queries for technical rounds, tool navigation for hands-on, structured thinking for case scenarios, and trade-offs or architecture for design discussions."
11,Python,Dictionaries,Screening/MCQ,[Screening/MCQ] Describe Python dictionaries and give examples of how a data analyst might use them.,"A Python dict is a hash map from keys to values, offering average O(1) lookup, insert, and delete performance. Data analysts often use dictionaries to map IDs to attributes, cache expensive computations, or implement simple aggregations (e.g., summing sales by product_id). Because keys must be hashable and unique, dicts are ideal whenever you want fast lookups by a unique identifier. In a Screening/MCQ round, emphasize the aspects most relevant to that format, such as brevity for screenings, code or queries for technical rounds, tool navigation for hands-on, structured thinking for case scenarios, and trade-offs or architecture for design discussions."
12,Python,Dictionaries,Technical coding,[Technical coding] Describe Python dictionaries and give examples of how a data analyst might use them.,"A Python dict is a hash map from keys to values, offering average O(1) lookup, insert, and delete performance. Data analysts often use dictionaries to map IDs to attributes, cache expensive computations, or implement simple aggregations (e.g., summing sales by product_id). Because keys must be hashable and unique, dicts are ideal whenever you want fast lookups by a unique identifier. In a Technical coding round, emphasize the aspects most relevant to that format, such as brevity for screenings, code or queries for technical rounds, tool navigation for hands-on, structured thinking for case scenarios, and trade-offs or architecture for design discussions."
13,Python,Dictionaries,Tool hands-on,[Tool hands-on] Describe Python dictionaries and give examples of how a data analyst might use them.,"A Python dict is a hash map from keys to values, offering average O(1) lookup, insert, and delete performance. Data analysts often use dictionaries to map IDs to attributes, cache expensive computations, or implement simple aggregations (e.g., summing sales by product_id). Because keys must be hashable and unique, dicts are ideal whenever you want fast lookups by a unique identifier. In a Tool hands-on round, emphasize the aspects most relevant to that format, such as brevity for screenings, code or queries for technical rounds, tool navigation for hands-on, structured thinking for case scenarios, and trade-offs or architecture for design discussions."
14,Python,Dictionaries,Case/Scenario,[Case/Scenario] Describe Python dictionaries and give examples of how a data analyst might use them.,"A Python dict is a hash map from keys to values, offering average O(1) lookup, insert, and delete performance. Data analysts often use dictionaries to map IDs to attributes, cache expensive computations, or implement simple aggregations (e.g., summing sales by product_id). Because keys must be hashable and unique, dicts are ideal whenever you want fast lookups by a unique identifier. In a Case/Scenario round, emphasize the aspects most relevant to that format, such as brevity for screenings, code or queries for technical rounds, tool navigation for hands-on, structured thinking for case scenarios, and trade-offs or architecture for design discussions."
15,Python,Dictionaries,System/design discussion,[System/design discussion] Describe Python dictionaries and give examples of how a data analyst might use them.,"A Python dict is a hash map from keys to values, offering average O(1) lookup, insert, and delete performance. Data analysts often use dictionaries to map IDs to attributes, cache expensive computations, or implement simple aggregations (e.g., summing sales by product_id). Because keys must be hashable and unique, dicts are ideal whenever you want fast lookups by a unique identifier. In a System/design discussion round, emphasize the aspects most relevant to that format, such as brevity for screenings, code or queries for technical rounds, tool navigation for hands-on, structured thinking for case scenarios, and trade-offs or architecture for design discussions."
16,Python,Control flow,Screening/MCQ,"[Screening/MCQ] How do if/elif/else and for/while loops work in Python, and how are they used in data scripts?","If/elif/else statements implement conditional branching based on Boolean expressions, letting your script handle different paths for missing values, error cases, or data types. For loops iterate over sequences, and while loops continue while a condition is true, so you can process rows, batch API calls, or retry operations until success. Clean control flow structures make ETL steps easier to read and debug compared with deeply nested code. In a Screening/MCQ round, emphasize the aspects most relevant to that format, such as brevity for screenings, code or queries for technical rounds, tool navigation for hands-on, structured thinking for case scenarios, and trade-offs or architecture for design discussions."
17,Python,Control flow,Technical coding,"[Technical coding] How do if/elif/else and for/while loops work in Python, and how are they used in data scripts?","If/elif/else statements implement conditional branching based on Boolean expressions, letting your script handle different paths for missing values, error cases, or data types. For loops iterate over sequences, and while loops continue while a condition is true, so you can process rows, batch API calls, or retry operations until success. Clean control flow structures make ETL steps easier to read and debug compared with deeply nested code. In a Technical coding round, emphasize the aspects most relevant to that format, such as brevity for screenings, code or queries for technical rounds, tool navigation for hands-on, structured thinking for case scenarios, and trade-offs or architecture for design discussions."
18,Python,Control flow,Tool hands-on,"[Tool hands-on] How do if/elif/else and for/while loops work in Python, and how are they used in data scripts?","If/elif/else statements implement conditional branching based on Boolean expressions, letting your script handle different paths for missing values, error cases, or data types. For loops iterate over sequences, and while loops continue while a condition is true, so you can process rows, batch API calls, or retry operations until success. Clean control flow structures make ETL steps easier to read and debug compared with deeply nested code. In a Tool hands-on round, emphasize the aspects most relevant to that format, such as brevity for screenings, code or queries for technical rounds, tool navigation for hands-on, structured thinking for case scenarios, and trade-offs or architecture for design discussions."
